Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity
1020.6,1017,1017.75,995.1,997.3,998.65,1004.26,5965445
998.65,1001,1013,993.75,999.95,999.95,1003.39,4246454
999.95,989.9,999.85,976.1,995.65,995.55,988.5,4381347
995.55,1018,1048.95,1016.45,1021.05,1022.65,1030.55,5652017
1022.65,1025,1025,982.75,986.4,985.65,996.06,5770796
985.65,994.9,1010,991,1007.2,1008.05,1002.8,3137663
1008.05,1011,1027.7,1001.6,1024.55,1022.25,1017.94,6264345
1022.25,1029.95,1039,1014.5,1035.05,1036.65,1031.13,4008272
1036.65,1030.15,1048.5,1028.75,1046.5,1045.6,1040.81,3782780
1045.6,1043.3,1045,1004.1,1010.5,1010.55,1018.22,4449630
1010.55,1015,1021,1003.35,1010.9,1011.05,1012.91,4509546
1011.05,1019.9,1038,1019.9,1029.2,1030.8,1030.93,3910363
1030.8,1031,1036,1022.45,1030.7,1031.2,1030.41,3220285
1031.2,1015,1015,1000,1008.2,1007.75,1007.31,3086645
1007.75,1009.7,1012.7,995.1,996.25,996.4,1003.52,3480569
996.4,1000.2,1015,1000,1008,1007.05,1007.98,3484176
1007.05,1010,1017.45,1007.15,1015.65,1015.35,1013.36,3191686
1015.35,1025,1050.85,1021,1045.05,1046.4,1040.47,5327604
1046.4,1054.9,1070,1049.1,1063.35,1063.5,1060.73,3632863
1063.5,1065.2,1069.9,1050.1,1064.5,1066.1,1061.88,4341443
1066.1,1070,1072.65,1055.1,1057.05,1057.95,1061.68,2704841
1057.95,1063.3,1077,1058.3,1072.15,1071.4,1068.57,4811174
1071.4,1080.2,1089.8,1050.55,1051.2,1054.35,1070.29,8749692
1054.35,1061,1071.7,1061,1064.9,1065.65,1067.11,2695660
1065.65,1063,1074.8,1056.95,1063.55,1063.8,1064.44,2950749
1063.8,1059.7,1067.5,1054,1058.15,1058.7,1060.08,2665095
1058.7,1059,1065.8,1047.3,1051.1,1052.05,1057.19,4298567
1052.05,1050,1068,1043,1066.5,1062.95,1054.46,4646050
1062.95,1074,1092,1065.15,1089,1090.15,1082.88,7194118
1090.15,1091,1091,1064.2,1068.2,1067.45,1073.67,3249076
1067.45,1060,1093.95,1057.5,1089.15,1089.85,1085,6088910
1089.85,1084,1086.35,1066.5,1076,1076.25,1074.96,3042649
1076.25,1076,1083.95,1065.3,1067.45,1068.95,1074.88,2502708
1068.95,1070,1073.15,1062.7,1068.3,1068.3,1068.03,1462821
1068.3,1065.5,1081.9,1065.5,1070,1073.9,1075.29,2115540
1073.9,1074,1074.8,1051,1052.5,1053.55,1060.35,3140408
1053.55,1060,1069.55,1055.25,1056.9,1057.1,1062.34,2737949
1057.1,1063.95,1066,1053.55,1056.2,1057.65,1058.15,2965846
1057.65,1060,1067.95,1052.05,1056.85,1056.25,1058.96,2871831
1056.25,1057.25,1077.75,1057.25,1074.7,1074.3,1068.46,3438642
1074.3,1080,1094.45,1067.25,1068.2,1070.45,1075.25,3650519
1070.45,1071.95,1080.9,1068.1,1072,1073.45,1073.7,3172106
1073.45,1071.05,1074,1060,1063.5,1062.95,1064.33,2006855
1062.95,1058.1,1065.9,1053.8,1055.7,1056.05,1059.34,2242066
1056.05,1057,1065.9,1049.1,1049.5,1052.95,1058.77,1564673
1052.95,1058.9,1063,1055.65,1057.7,1058.4,1058.98,2245764
1058.4,1058.4,1060.85,1047.6,1058.9,1059,1053.89,3629863
1059,1063.95,1070.9,1056.8,1059,1060.45,1064.46,3152167
1060.45,1063.5,1067.4,1050.25,1052.05,1053.1,1058.09,2083245
1053.1,1058.85,1061.15,1051.1,1053,1053.5,1056.17,2773497
1053.5,1063,1073.65,1018,1020.25,1021.25,1035.85,12098248
1021.25,1028.5,1028.5,1008,1013.2,1010.15,1014.85,10579193
1010.15,1014.95,1020.35,1007.25,1009,1009.65,1012.94,4398414
1009.65,1016,1021.8,1011.4,1016.65,1014.55,1015.75,2897730
1014.55,1019.15,1030.9,1014,1027.65,1027.75,1025.63,4595476
1027.75,1028,1031,1012.55,1015.85,1016.05,1018.07,4187240
1016.05,1019.95,1023.7,1005.05,1008,1007.05,1012.53,4184906
1007.05,1008.9,1010.1,998.5,999.75,1000.1,1002.86,4561587
1000.1,1000,1006,992,992.95,993.6,997.06,5086803
993.6,991,1002.4,986.3,987.85,987.9,993.1,4569314
987.9,989.8,994.9,980.1,981.65,983.25,986.04,5009919
983.25,980,983.25,970,972,972.6,973.32,5694088
972.6,970.5,993.8,970.5,978.85,979.1,982.51,6974575
979.1,980,991.9,975,976.55,976.9,982.13,3206742
976.9,980,984.95,970,971.3,970.65,975.07,3380458
970.65,973,977,958.35,963.75,964.6,965.77,5682424
964.6,963.7,984.9,963.7,977.5,977.2,979.22,4723202
977.2,977.2,993.4,972.5,986.7,988.65,986.3,4799377
988.65,992.05,992.05,975.6,978,976.9,981.2,3095800
976.9,976.9,981,967.3,971.25,972.4,973.55,4406206
972.4,970,977.85,965.5,966.8,967.8,971.54,4256327
967.8,970,973,955.05,956,956.45,961,6362576
956.45,958.9,960.9,946.55,947.8,949.6,952.19,5558199
949.6,952.1,964.8,945,946.35,947.95,951.71,2722106
947.95,944.65,949.95,915,915.9,919.2,923.41,10653128
919.2,925.05,943.8,921,940.7,936.2,930.3,6374456
936.2,945,946.65,936,937,937.45,939.92,4045759
937.45,940,941.6,924.2,924.7,925.7,928.28,3300811
925.7,930.95,957.7,922.3,955,952.65,944.75,7755451
952.65,955,969.7,953,959.75,962.3,963.14,6487124
962.3,955.1,964.7,952,957.2,959.6,958.07,2659076
959.6,962.95,967.2,955.2,957.8,958.55,960.65,2311961
958.55,972,995.5,965.35,992.4,992.5,980.81,6280165
992.5,995.5,1003,984.35,987,988.15,992.17,4451190
988.15,989,1018.7,989,1014.3,1013.9,1009.31,7670039
1013.9,1012.1,1015.35,997.2,1000.2,1000.35,1008.02,4238156
1000.35,1005,1031.4,1005,1026.65,1027.35,1020.89,7304408
1027.35,1029,1043.95,1021.1,1041,1041.4,1036.26,6953447
1041.4,1042,1048.5,1025.05,1034.05,1035.15,1036.17,4880691
1035.15,1034,1043.7,1015,1016.25,1020.05,1024.1,5914047
1020.05,1020.05,1024,996,996.9,997.65,1004.65,5264383
997.65,1000,1009,992.1,1003,1001.65,1002.2,5181769
1001.65,1008,1019.9,1005.1,1010,1010.2,1012.7,3763708
1010.2,1008.3,1012,993,997.9,998.5,1001.01,4499090
998.5,1000,1009,995,996.3,999,1002.12,4066504
999,1002,1002,978.1,987.3,987.25,987.33,6624729
987.25,992,1010,990,1009,1007.9,1001.69,4366861
1007.9,1014.95,1025.8,1014.95,1017.6,1017.85,1019.12,4837519
1017.85,1016,1031.8,1009,1021.1,1023.85,1022.82,5243466
1023.85,1030,1047,1026.95,1044,1044.95,1038.14,6431802
1044.95,1044.95,1055.75,1032.5,1039,1039.15,1047.35,7211287
1039.15,1046.7,1054.8,1030.55,1051.95,1049.65,1044.01,4769466
1049.65,1056,1072.25,1053.1,1069,1069.2,1066.39,5896732
1069.2,1068,1069.4,1046.15,1053.1,1055.6,1054.85,3195565
1055.6,1056.1,1074,1054.7,1072,1073.05,1068.54,5478523
1073.05,1075,1081.5,1054.2,1056.8,1059,1072.72,5580792
1059,1060,1068,1035.6,1037.85,1040.35,1051.28,2652016
1040.35,1042.25,1064.95,1033.25,1063.85,1047.45,1043.16,5076676
1047.45,1065,1068.7,1039.25,1040.25,1044.4,1055.76,4246988
